::1 - moneyroom [06/Jun/2026:23:40:22 -0400] "GET /health HTTP/2.0" 200 8 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:40:30 -0400] "GET / HTTP/2.0" 302 145 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:40:37 -0400] "GET /index.html HTTP/2.0" 401 179 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:00 -0400] "GET /index.html HTTP/2.0" 200 34162 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:03 -0400] "GET /data/stats.json HTTP/2.0" 200 17 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:16 -0400] "POST /register HTTP/2.0" 200 94 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:19 -0400] "GET / HTTP/1.1" 301 169 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:29 -0400] "POST /register HTTP/2.0" 401 179 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:29 -0400] "POST /register HTTP/2.0" 401 179 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:29 -0400] "POST /register HTTP/2.0" 401 179 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:29 -0400] "POST /register HTTP/2.0" 401 179 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:29 -0400] "POST /register HTTP/2.0" 503 197 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:41:30 -0400] "POST /register HTTP/2.0" 503 197 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 200 94 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 200 94 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 200 94 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 503 197 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 503 197 "-" "curl/8.18.0" "-"
::1 - moneyroom [06/Jun/2026:23:42:06 -0400] "POST /register HTTP/2.0" 503 197 "-" "curl/8.18.0" "-"
